Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/kimli-hindustan-park,Kimli Kolkata,20293,4,1558,"56G, Purnadas Road, Hindustan Park, Kolkata","Chinese, Seafood",₹600 
https://www.zomato.com/kolkata/so-southy-new-town,So Southy Kolkata,19058817,3.2,13,"A 33, NKDA Market, Gate 1, Action Area 1, Opposite Unitech Building, New Town, Kolkata",South Indian,₹400 
https://www.zomato.com/kolkata/royal-zam-zam-biryani-tangra,Royal Zam Zam Biryani Kolkata,18679199,2.9,18,"238, Tiljala Road, Tangra, Kolkata",Biryani,₹300 
https://www.zomato.com/kolkata/shri-shyam-kitchen-theatre-road,Shri Shyam Kitchen Kolkata,18568516,3.4,160,"28/2, Shakespeare Sarani, Centre Point Building, Theatre Road, Kolkata","Rajasthani, Fast Food, Mishti",₹250 
https://www.zomato.com/kolkata/soul-cafe-ballygunge,Soul Cafe Kolkata,18354602,3.8,134,"51, Syed Amir Ali Avenue, Ballygunge, Kolkata","Cafe, American, Italian, Continental","₹1,000"
https://www.zomato.com/kolkata/terrace-tandoor-gariahat,Terrace Tandoor Kolkata,23599,3.3,14,"Thames International Hotel, 181, Gariahat, Near Aliya Cinema Hall, Gariahat, Kolkata","North Indian, Chinese, Mughlai",₹700 
https://www.zomato.com/kolkata/qube-sector-3-salt-lake,Qube Kolkata,23466,3.3,48,"Hotel The Sojourn, KB 23, Sector 3, Salt Lake","North Indian, Chinese, Finger Food","₹1,200"
https://www.zomato.com/kolkata/klink-radisson-kolkata-ballygunge,Klink - Radisson Kolkata Kolkata,23415,3.5,30,"Radisson, 17, Garcha Road, Ballygunge, Kolkata",Finger Food,"₹1,500"
https://www.zomato.com/kolkata/bachans-dhaba-kalighat,Bachan's Dhaba Kolkata,21251,4,1976,"T 39A, Rash Behari Avenue, Kalighat, Kolkata","Chinese, North Indian",₹500 
https://www.zomato.com/kolkata/wild-west-tavern-ballygunge,Wild West Tavern Kolkata,18354574,3.5,85,"Gariahat Mall, 13, Jamir Lane, Ekdalia, Ballygunge, Kolkata","Italian, Mexican, American","₹1,200"
